ID,Company Name,Industry
381,PROVIDENT FINANCIAL HOLDINGS INC,SAVINGS INSTITUTION  FEDERALLY CHARTERED [6035]
382,PROVIDENT FINANCIAL HOLDINGS INC,SAVINGS INSTITUTION  FEDERALLY CHARTERED [6035]
383,Growblox Sciences  Inc.,CRUDE PETROLEUM & NATURAL GAS [1311]
384,EATON VANCE SENIOR INCOME TRUST,N/A
385,EATON VANCE SENIOR INCOME TRUST,N/A
386,EATON VANCE TAX ADVANTAGED DIVIDEND INCOME FUND,N/A
387,WORLDWIDE HEALTH SCIENCES PORTFOLIO,N/A
388,EATON VANCE GROWTH TRUST,N/A
389,BCB BANCORP INC,SAVINGS INSTITUTION  FEDERALLY CHARTERED [6035]
390,SUN BANCORP INC /NJ/,COMMERCIAL BANKS  NEC [6029]
391,Itau Unibanco Holding S.A.,STATE COMMERCIAL BANKS [6022]
392,Itau Unibanco Holding S.A.,STATE COMMERCIAL BANKS [6022]
393,TURKCELL ILETISIM HIZMETLERI A S,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813]
394,TURKCELL ILETISIM HIZMETLERI A S,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813]
395,TURKCELL ILETISIM HIZMETLERI A S,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813]
396,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
397,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
398,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
399,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
400,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
401,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
402,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
403,TIME WARNER CABLE INC.,CABLE & OTHER PAY TELEVISION SERVICES [4841]
404,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
405,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
406,DEUTSCHE BANK AKTIENGESELLSCHAFT,STATE COMMERCIAL BANKS [6022]
407,INTERMUNE INC,PHARMACEUTICAL PREPARATIONS [2834]
408,ARM HOLDINGS PLC,SEMICONDUCTORS & RELATED DEVICES [3674]
409,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
410,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
411,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
412,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
413,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
414,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
415,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
416,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
417,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
418,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
419,DEUTSCHE BANK AKTIENGESELLSCHAFT,STATE COMMERCIAL BANKS [6022]
420,DEUTSCHE BANK AKTIENGESELLSCHAFT,STATE COMMERCIAL BANKS [6022]
421,DEUTSCHE BANK AKTIENGESELLSCHAFT,STATE COMMERCIAL BANKS [6022]
422,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
423,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
424,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
425,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
426,TIME WARNER CABLE INC.,CABLE & OTHER PAY TELEVISION SERVICES [4841]
427,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
428,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
429,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
430,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
431,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
432,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
433,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
434,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
435,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
436,DEUTSCHE BANK AKTIENGESELLSCHAFT,STATE COMMERCIAL BANKS [6022]
437,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
438,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
439,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
440,DEUTSCHE BANK AKTIENGESELLSCHAFT,STATE COMMERCIAL BANKS [6022]
441,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
442,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
443,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
444,DEUTSCHE BANK AKTIENGESELLSCHAFT,STATE COMMERCIAL BANKS [6022]
445,ICICI BANK LTD,COMMERCIAL BANKS  NEC [6029]
446,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
447,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
448,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
449,COMCAST CORP,CABLE & OTHER PAY TELEVISION SERVICES [4841]
450,DEUTSCHE BANK AKTIENGESELLSCHAFT,STATE COMMERCIAL BANKS [6022]
451,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
452,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
453,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
454,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
455,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
456,CHARTER COMMUNICATIONS  INC. /MO/,CABLE & OTHER PAY TELEVISION SERVICES [4841]
457,DEUTSCHE BANK AKTIENGESELLSCHAFT,STATE COMMERCIAL BANKS [6022]
458,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
459,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
460,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
461,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
462,DEUTSCHE BANK AKTIENGESELLSCHAFT,STATE COMMERCIAL BANKS [6022]
463,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
464,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
465,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
466,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
467,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
468,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
469,Kosmos Energy Ltd.,CRUDE PETROLEUM & NATURAL GAS [1311]
470,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
471,DEUTSCHE BANK AKTIENGESELLSCHAFT,STATE COMMERCIAL BANKS [6022]
472,DEUTSCHE BANK AKTIENGESELLSCHAFT,STATE COMMERCIAL BANKS [6022]
473,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
474,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
475,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
476,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
477,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
478,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
479,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
480,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
481,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
482,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
483,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
484,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
485,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
486,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
487,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
488,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
489,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
490,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
491,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
492,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
493,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
494,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
495,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
496,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
497,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
498,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
499,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
500,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
501,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
502,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
503,ARM HOLDINGS PLC,SEMICONDUCTORS & RELATED DEVICES [3674]
504,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
505,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
506,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
507,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
508,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
509,CNOOC LTD,CRUDE PETROLEUM & NATURAL GAS [1311]
510,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
511,DEUTSCHE BANK AKTIENGESELLSCHAFT,STATE COMMERCIAL BANKS [6022]
512,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
513,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
514,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
515,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
516,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
517,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
518,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
519,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
520,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
521,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
522,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
523,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
524,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
525,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
526,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
527,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
528,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
529,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
530,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
531,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
532,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
533,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
534,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
535,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
536,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
537,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
538,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
539,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
540,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
541,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
542,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
543,Lloyds Banking Group plc,COMMERCIAL BANKS  NEC [6029]
544,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
545,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
546,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
547,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
548,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
549,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
550,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
551,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
552,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
553,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
554,ICICI BANK LTD,COMMERCIAL BANKS  NEC [6029]
555,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
556,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
557,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
558,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
559,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
560,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
561,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
562,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
563,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
564,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
565,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
566,DEUTSCHE BANK AKTIENGESELLSCHAFT,STATE COMMERCIAL BANKS [6022]
567,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
568,DEUTSCHE BANK AKTIENGESELLSCHAFT,STATE COMMERCIAL BANKS [6022]
569,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
570,DEUTSCHE BANK AKTIENGESELLSCHAFT,STATE COMMERCIAL BANKS [6022]
571,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
572,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
573,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
574,DEUTSCHE BANK AKTIENGESELLSCHAFT,STATE COMMERCIAL BANKS [6022]
575,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
576,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
577,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
578,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
579,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
580,DEUTSCHE BANK AKTIENGESELLSCHAFT,STATE COMMERCIAL BANKS [6022]
581,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
582,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
583,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
584,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
585,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
586,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
587,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
588,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
589,DEUTSCHE BANK AKTIENGESELLSCHAFT,STATE COMMERCIAL BANKS [6022]
590,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
591,DEUTSCHE BANK AKTIENGESELLSCHAFT,STATE COMMERCIAL BANKS [6022]
592,DEUTSCHE BANK AKTIENGESELLSCHAFT,STATE COMMERCIAL BANKS [6022]
593,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
594,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
595,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
596,DEUTSCHE BANK AKTIENGESELLSCHAFT,STATE COMMERCIAL BANKS [6022]
597,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
598,Lloyds Banking Group plc,COMMERCIAL BANKS  NEC [6029]
599,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
600,Lloyds Banking Group plc,COMMERCIAL BANKS  NEC [6029]
601,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
602,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
603,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
604,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
605,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
606,ARM HOLDINGS PLC,SEMICONDUCTORS & RELATED DEVICES [3674]
607,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
608,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
609,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
610,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
611,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
612,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
613,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
614,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
615,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
616,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
617,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
618,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
619,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
620,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
621,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
622,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
623,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
624,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
625,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
626,Lloyds Banking Group plc,COMMERCIAL BANKS  NEC [6029]
627,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
628,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
629,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
630,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
631,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
632,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
633,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
634,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
635,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
636,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
637,DEUTSCHE BANK AKTIENGESELLSCHAFT,STATE COMMERCIAL BANKS [6022]
638,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
639,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
640,ADVANCED SEMICONDUCTOR ENGINEERING INC,SEMICONDUCTORS & RELATED DEVICES [3674]
641,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
642,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
643,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
644,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
645,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
646,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
647,ULTRAPAR HOLDINGS INC,NATURAL GAS DISTRIBUTION [4924]
648,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
649,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
650,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
651,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
652,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
653,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
654,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
655,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
656,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
657,CONNECTURE INC,SERVICES-PREPACKAGED SOFTWARE [7372]
658,VERISILICON HOLDINGS CO LTD,SEMICONDUCTORS & RELATED DEVICES [3674]
659,HARBINGER GROUP INC.,MISCELLANEOUS ELECTRICAL MACHINERY  EQUIPMENT & SUPPLIES [3690]
660,Graham Holdings Co,SERVICES-EDUCATIONAL SERVICES [8200]
661,CHIQUITA BRANDS INTERNATIONAL INC,AGRICULTURE PRODUCTION - CROPS [0100]
662,CHIQUITA BRANDS INTERNATIONAL INC,AGRICULTURE PRODUCTION - CROPS [0100]
663,CHIQUITA BRANDS INTERNATIONAL INC,AGRICULTURE PRODUCTION - CROPS [0100]
664,CHIQUITA BRANDS INTERNATIONAL INC,AGRICULTURE PRODUCTION - CROPS [0100]
665,CHIQUITA BRANDS INTERNATIONAL INC,AGRICULTURE PRODUCTION - CROPS [0100]
666,CHIQUITA BRANDS INTERNATIONAL INC,AGRICULTURE PRODUCTION - CROPS [0100]
667,CHIQUITA BRANDS INTERNATIONAL INC,AGRICULTURE PRODUCTION - CROPS [0100]
668,SAPIENT CORP,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN [7373]
669,SAPIENT CORP,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN [7373]
670,COVANCE INC,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH [8731]
